proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
70547,26,,117.60,1,False,state,AZ
70547,TC,,348.60,1,False,state,AZ
70548,,,532.00,1,False,state,AZ
70548,26,,147.70,1,False,state,AZ
70548,TC,,384.30,1,False,state,AZ
70549,,,746.20,1,False,state,AZ
70549,26,,176.40,1,False,state,AZ
70549,TC,,569.80,1,False,state,AZ
70551,,,423.50,1,False,state,AZ
70551,26,,145.60,1,False,state,AZ
70551,TC,,277.90,1,False,state,AZ
70552,,,583.80,1,False,state,AZ
70552,26,,175.00,1,False,state,AZ
70552,TC,,408.80,1,False,state,AZ
70553,,,687.40,1,False,state,AZ
70553,26,,224.70,1,False,state,AZ
70553,TC,,462.70,1,False,state,AZ
70554,,,821.10,1,False,state,AZ
70554,26,,208.60,1,False,state,AZ
70554,TC,,612.50,1,False,state,AZ
70555,,,1441.30,1,False,state,AZ
70555,26,,245.00,1,False,state,AZ
70555,TC,,1196.30,1,False,state,AZ
70557,,,315.00,1,False,state,AZ
70557,26,,315.00,1,False,state,AZ
70557,TC,,BR,1,False,state,AZ
70558,,,1388.80,1,False,state,AZ
70558,26,,347.20,1,False,state,AZ
70558,TC,,1041.60,1,False,state,AZ
70559,,,905.80,1,False,state,AZ
70559,26,,326.20,1,False,state,AZ
70559,TC,,579.60,1,False,state,AZ
71045,,,53.90,1,False,state,AZ
71045,26,,17.50,1,False,state,AZ
71045,TC,,36.40,1,False,state,AZ
71046,,,70.70,1,False,state,AZ
71046,26,,21.70,1,False,state,AZ
71046,TC,,49.00,1,False,state,AZ
71047,,,88.90,1,False,state,AZ
71047,26,,27.30,1,False,state,AZ
71047,TC,,61.60,1,False,state,AZ
71048,,,95.90,1,False,state,AZ
71048,26,,30.10,1,False,state,AZ
71048,TC,,65.80,1,False,state,AZ
71100,,,77.00,1,False,state,AZ
71100,26,,21.70,1,False,state,AZ
71100,TC,,55.30,1,False,state,AZ
71101,,,88.90,1,False,state,AZ
71101,26,,26.60,1,False,state,AZ
71101,TC,,62.30,1,False,state,AZ
71110,,,92.40,1,False,state,AZ
71110,26,,28.70,1,False,state,AZ
71110,TC,,63.70,1,False,state,AZ
71111,,,110.60,1,False,state,AZ
71111,26,,32.20,1,False,state,AZ
71111,TC,,78.40,1,False,state,AZ
71120,,,70.70,1,False,state,AZ
71120,26,,19.60,1,False,state,AZ
71120,TC,,51.10,1,False,state,AZ
71130,,,86.80,1,False,state,AZ
71130,26,,21.70,1,False,state,AZ
71130,TC,,65.10,1,False,state,AZ
71250,,,286.30,1,False,state,AZ
71250,26,,106.40,1,False,state,AZ
71250,TC,,179.90,1,False,state,AZ
71260,,,359.80,1,False,state,AZ
71260,26,,114.80,1,False,state,AZ
71260,TC,,245.00,1,False,state,AZ
71270,,,422.80,1,False,state,AZ
71270,26,,122.50,1,False,state,AZ
71270,TC,,300.30,1,False,state,AZ
71271,,,296.10,1,False,state,AZ
71271,26,,106.40,1,False,state,AZ
71271,TC,,189.70,1,False,state,AZ
71275,,,606.20,1,False,state,AZ
71275,26,,178.50,1,False,state,AZ
71275,TC,,427.70,1,False,state,AZ
71550,,,730.10,1,False,state,AZ
71550,26,,143.50,1,False,state,AZ
71550,TC,,586.60,1,False,state,AZ
71551,,,807.10,1,False,state,AZ
71551,26,,170.10,1,False,state,AZ
71551,TC,,637.00,1,False,state,AZ
71552,,,1018.50,1,False,state,AZ
71552,26,,221.90,1,False,state,AZ
71552,TC,,796.60,1,False,state,AZ
71555,,,721.00,1,False,state,AZ
71555,26,,175.70,1,False,state,AZ
71555,TC,,545.30,1,False,state,AZ
72020,,,51.10,1,False,state,AZ
72020,26,,16.10,1,False,state,AZ
72020,TC,,35.00,1,False,state,AZ
72040,,,83.30,1,False,state,AZ
72040,26,,22.40,1,False,state,AZ
72040,TC,,60.90,1,False,state,AZ
72050,,,112.70,1,False,state,AZ
72050,26,,26.60,1,False,state,AZ
72050,TC,,86.10,1,False,state,AZ
72052,,,131.60,1,False,state,AZ
72052,26,,30.10,1,False,state,AZ
72052,TC,,101.50,1,False,state,AZ
72070,,,69.30,1,False,state,AZ
72070,26,,20.30,1,False,state,AZ
72070,TC,,49.00,1,False,state,AZ
72072,,,83.30,1,False,state,AZ
72072,26,,22.40,1,False,state,AZ
72072,TC,,60.90,1,False,state,AZ
72074,,,93.80,1,False,state,AZ
72074,26,,24.50,1,False,state,AZ
72074,TC,,69.30,1,False,state,AZ
72080,,,72.80,1,False,state,AZ
72080,26,,21.00,1,False,state,AZ
72080,TC,,51.80,1,False,state,AZ
72081,,,89.60,1,False,state,AZ
72081,26,,25.90,1,False,state,AZ
72081,TC,,63.70,1,False,state,AZ
72082,,,147.70,1,False,state,AZ
72082,26,,31.50,1,False,state,AZ
72082,TC,,116.20,1,False,state,AZ
72083,,,167.30,1,False,state,AZ
72083,26,,35.70,1,False,state,AZ
72083,TC,,131.60,1,False,state,AZ
72084,,,207.20,1,False,state,AZ
72084,26,,41.30,1,False,state,AZ
72084,TC,,165.90,1,False,state,AZ
72100,,,84.00,1,False,state,AZ
72100,26,,22.40,1,False,state,AZ
72100,TC,,61.60,1,False,state,AZ
72110,,,109.20,1,False,state,AZ
72110,26,,25.90,1,False,state,AZ
72110,TC,,83.30,1,False,state,AZ
72114,,,128.80,1,False,state,AZ
72114,26,,30.10,1,False,state,AZ
72114,TC,,98.70,1,False,state,AZ
72120,,,85.40,1,False,state,AZ
72120,26,,22.40,1,False,state,AZ
72120,TC,,63.00,1,False,state,AZ
72125,,,280.00,1,False,state,AZ
72125,26,,98.00,1,False,state,AZ
72125,TC,,182.00,1,False,state,AZ
72126,,,363.30,1,False,state,AZ
72126,26,,119.70,1,False,state,AZ
72126,TC,,243.60,1,False,state,AZ
72127,,,425.60,1,False,state,AZ
72127,26,,124.60,1,False,state,AZ
72127,TC,,301.00,1,False,state,AZ
72128,,,279.30,1,False,state,AZ
72128,26,,98.00,1,False,state,AZ
72128,TC,,181.30,1,False,state,AZ
72129,,,366.10,1,False,state,AZ
72129,26,,120.40,1,False,state,AZ
72129,TC,,245.70,1,False,state,AZ
72130,,,428.40,1,False,state,AZ
72130,26,,125.30,1,False,state,AZ
72130,TC,,303.10,1,False,state,AZ
72131,,,277.90,1,False,state,AZ
72131,26,,98.00,1,False,state,AZ
72131,TC,,179.90,1,False,state,AZ
