proc_cd,modifier,description,rate,rate_unit,is_by_report,region_type,region_value
11463,,,1160.26,1,False,state,AL
11470,,,1194.46,1,False,state,AL
11471,,,1402.19,1,False,state,AL
11600,,,264.5,1,False,state,AL
11601,,,314.66,1,False,state,AL
11602,,,387.59,1,False,state,AL
11603,,,456.01,1,False,state,AL
11604,,,558.59,1,False,state,AL
11606,,,626.99,1,False,state,AL
11620,,,266.77,1,False,state,AL
11621,,,337.45,1,False,state,AL
11622,,,376.19,1,False,state,AL
11623,,,456.01,1,False,state,AL
11624,,,581.41,1,False,state,AL
11626,,,786.61,1,False,state,AL
11640,,,314.66,1,False,state,AL
11641,,,353.38,1,False,state,AL
11643,,,592.81,1,False,state,AL
11644,,,626.99,1,False,state,AL
11646,,,775.2,1,False,state,AL
11720,,,73.28,1,False,state,AL
11721,,,126.72,1,False,state,AL
11730,,,150.47,1,False,state,AL
11732,,,72.93,1,False,state,AL
11740,,,107.11,1,False,state,AL
11750,,,615.61,1,False,state,AL
11755,,,139.98,1,False,state,AL
11760,,,145.93,1,False,state,AL
11762,,,649.76,1,False,state,AL
11765,,,661.17,1,False,state,AL
11770,,,980.39,1,False,state,AL
11771,,,1242.58,1,False,state,AL
11772,,,1937.96,1,False,state,AL
11900,,,63.82,1,False,state,AL
11901,,,184.67,1,False,state,AL
11920,,,132.25,1,False,state,AL
11921,,,200.62,1,False,state,AL
11922,,,305.49,1,False,state,AL
11950,,,132.25,1,False,state,AL
11951,,,200.62,1,False,state,AL
11952,,,305.49,1,False,state,AL
11954,,,433.17,1,False,state,AL
11960,,,4422.01,1,False,state,AL
11970,,,4913.35,1,False,state,AL
11971,,,4913.35,1,False,state,AL
11980,,,248.2,1,False,state,AL
11981,,,295.46,1,False,state,AL
11982,,,74.76,1,False,state,AL
11983,,,370.21,1,False,state,AL
12001,,,129.95,1,False,state,AL
12002,,,168.74,1,False,state,AL
12004,,,223.43,1,False,state,AL
12005,,,287.28,1,False,state,AL
12006,,,558.59,1,False,state,AL
12011,,,150.47,1,False,state,AL
12013,,,223.43,1,False,state,AL
12014,,,284.99,1,False,state,AL
12015,,,323.76,1,False,state,AL
12016,,,433.17,1,False,state,AL
12017,,,581.41,1,False,state,AL
12018,,,615.61,1,False,state,AL
12020,,,1345.15,1,False,state,AL
12021,,,1766.96,1,False,state,AL
12031,,,196.08,1,False,state,AL
12032,,,271.29,1,False,state,AL
12034,,,376.19,1,False,state,AL
12035,,,592.81,1,False,state,AL
12036,,,718.18,1,False,state,AL
12037,,,775.2,1,False,state,AL
12041,,,180.12,1,False,state,AL
12042,,,266.77,1,False,state,AL
12044,,,305.49,1,False,state,AL
12045,,,339.73,1,False,state,AL
12046,,,513.0,1,False,state,AL
12047,,,581.41,1,False,state,AL
12051,,,294.11,1,False,state,AL
12052,,,376.19,1,False,state,AL
12053,,,433.17,1,False,state,AL
12054,,,547.17,1,False,state,AL
12055,,,604.2,1,False,state,AL
12056,,,877.77,1,False,state,AL
12057,,,1185.61,1,False,state,AL
13100,,,341.99,1,False,state,AL
13101,,,399.0,1,False,state,AL
13102,,,93.3,1,False,state,AL
13120,,,399.0,1,False,state,AL
13121,,,615.61,1,False,state,AL
13122,,,210.86,1,False,state,AL
13131,,,467.38,1,False,state,AL
13132,,,957.6,1,False,state,AL
13133,,,459.05,1,False,state,AL
13152,,,1025.97,1,False,state,AL
13153,,,487.04,1,False,state,AL
13160,,,2051.98,1,False,state,AL
14000,,,900.58,1,False,state,AL
14001,,,1322.41,1,False,state,AL
